,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Km21,2.425e+02,3.942e+02,4.761e+02,8.684e+02,8.342e+01,7.859e+02,1.359e+03,4.932e+02,2.197e+03,9.462e+01,4.335e+02,1.256e+02,6.706e+02,1.122e+03,6.577e+02,7.251e+02,6.252e+02,2.551e+02,2.354e+02,2.138e+02,3.874e+02,2.647e+02,6.022e+02,5.187e+01,1.647e+02,2.083e+02,5.569e+02,1.034e+02,2.080e+02,1.898e+02,2.372e+02,1.705e+02,1.529e+02,7.545e+02,1.891e+02,2.214e+02,3.026e+02,1.906e+02,1.327e+02,2.677e+02,6.068e+02,3.081e+02,4.190e+02,7.813e+02,2.206e+02,7.669e+02,3.781e+02,3.579e+02,7.292e+02,1.458e+02
V24,9.709e-01,2.351e-01,6.978e-02,2.820e-01,3.861e-01,3.884e-01,3.764e-01,2.611e-01,3.756e-01,3.014e-01,2.584e-01,2.608e-01,8.817e-01,8.248e-01,3.058e-01,8.813e-02,2.718e+00,2.116e-01,8.688e-02,7.954e-01,8.663e-01,3.078e-01,2.036e-01,1.474e+00,2.737e-01,1.984e-01,2.236e-01,6.524e-02,1.237e-01,8.016e-01,4.701e-01,6.184e-01,6.025e-01,9.593e-02,1.466e+00,4.531e-01,9.505e-02,1.406e-01,2.821e-01,7.919e-01,8.444e-01,1.711e-01,2.804e-01,2.923e-01,7.047e-01,2.743e-01,2.255e-01,2.686e-01,1.297e-01,1.649e-01
Km24,4.842e+04,3.398e+04,2.443e+04,5.612e+04,3.158e+04,2.656e+04,6.477e+04,2.145e+04,6.631e+03,3.035e+04,5.285e+04,2.976e+04,5.512e+04,9.074e+04,3.309e+04,1.839e+04,5.403e+04,1.555e+04,3.357e+04,6.169e+04,3.598e+04,3.646e+04,6.536e+04,1.721e+05,1.782e+04,4.049e+04,7.301e+04,1.236e+05,2.448e+04,5.592e+04,3.189e+04,4.993e+04,6.128e+04,3.358e+04,3.864e+04,3.787e+04,2.055e+04,3.767e+04,3.814e+04,5.552e+04,4.911e+04,3.731e+04,6.414e+04,1.515e+04,3.674e+04,1.821e+04,3.041e+04,1.258e+04,2.187e+04,4.278e+04
V25,2.610e+01,7.209e+00,1.404e+01,3.731e+00,9.468e+00,6.276e+01,5.010e+00,1.311e+01,4.403e+01,1.416e+01,4.792e+00,1.268e+01,1.570e+01,7.162e+00,1.909e+01,1.987e+01,4.450e+01,3.162e+01,2.298e+00,1.457e+01,2.655e+01,1.246e+01,1.686e+01,3.009e+01,1.371e+01,1.213e+01,5.639e+00,3.683e+00,2.306e+01,1.367e+01,3.434e+01,1.072e+01,2.727e+01,1.043e+01,5.068e+01,2.072e+01,1.550e+01,9.059e+00,7.128e+00,1.219e+01,1.865e+01,1.156e+01,6.031e+00,1.965e+01,2.363e+01,2.081e+01,1.649e+01,1.491e+01,1.051e+01,6.298e+00
Km25,1.054e+00,2.335e+00,7.443e-01,2.906e+00,1.100e+00,1.143e+00,1.525e+00,7.398e-01,1.227e+00,2.241e+00,9.285e-01,2.882e+00,9.973e-01,1.340e+00,6.737e-01,1.969e+00,2.049e+00,1.772e+00,5.591e-01,2.141e+00,6.519e-01,5.347e-01,7.273e-01,2.251e-01,2.691e-01,6.529e-01,1.337e+00,1.689e+00,1.956e+00,2.006e+00,8.244e-01,3.072e-01,1.425e+00,4.565e-01,1.536e+00,6.961e-01,1.704e+00,1.228e+00,1.450e+00,1.809e+00,4.097e+00,1.170e+00,9.657e-01,2.255e+00,5.162e-01,2.328e-01,6.260e-01,2.308e+00,1.881e+00,1.334e+00
KimRSK,3.946e-02,1.322e-02,4.657e-02,1.088e-02,1.127e-02,5.557e-02,3.482e-02,4.964e-02,5.435e-02,1.539e-02,3.506e-02,5.684e-02,9.330e-02,1.287e-02,1.279e-01,8.627e-02,4.736e-02,1.398e-01,4.062e-02,5.801e-02,5.476e-02,4.803e-02,2.572e-02,4.174e-02,1.282e-02,5.892e-02,6.606e-02,5.061e-02,3.860e-02,2.040e-02,4.399e-02,5.032e-02,4.544e-02,9.984e-02,1.059e-02,8.996e-02,5.895e-02,3.562e-02,2.729e-02,6.025e-02,1.799e-02,3.826e-02,7.583e-02,4.934e-02,3.558e-02,1.928e-02,9.958e-02,1.416e-02,3.414e-02,4.213e-02
KexRSK,1.674e-01,1.348e-01,2.018e-02,2.152e-01,1.044e-01,1.014e-01,1.726e-01,7.956e-02,2.422e-01,2.277e-01,2.311e-01,6.341e-02,1.683e-01,2.537e-01,1.602e-01,3.127e-02,1.477e-01,7.531e-02,1.442e-01,2.037e-01,1.265e-01,5.676e-02,4.448e-02,1.029e-01,4.669e-02,1.025e-01,4.364e-01,4.146e-02,1.471e-01,8.969e-02,7.859e-02,5.679e-02,3.816e-02,3.439e-01,7.808e-02,4.565e-01,2.179e-01,7.370e-02,1.322e-01,2.368e-01,8.825e-02,7.755e-02,1.078e-01,3.299e-02,3.354e-02,6.834e-02,2.073e-01,1.006e-01,1.532e-01,1.209e-01
V27,1.911e+01,2.625e+01,6.495e+01,7.212e+01,3.343e+01,2.978e+01,1.286e+01,1.538e+01,1.210e+02,4.597e+01,3.113e+01,1.173e+01,2.152e+01,1.608e+01,2.450e+01,1.662e+01,1.644e+01,9.033e+00,8.150e+00,1.703e+01,5.604e+01,3.352e+01,2.771e+01,1.508e+02,8.471e+01,1.925e+01,1.971e+01,1.780e+01,3.349e+01,1.846e+01,3.813e+01,1.420e+01,8.590e+00,1.419e+02,2.328e+01,1.900e+01,1.570e+01,3.364e+01,2.317e+01,2.017e+01,1.326e+01,4.111e+01,1.215e+01,5.289e+00,2.804e+01,4.565e+01,6.545e+01,1.013e+01,1.646e+01,5.904e+00
Km27,2.350e+02,2.978e+02,1.740e+02,2.748e+02,4.778e+01,6.923e+02,4.407e+02,4.952e+02,3.994e+03,2.507e+02,5.744e+02,5.299e+02,5.683e+02,5.338e+01,2.087e+02,3.092e+02,1.144e+03,4.918e+02,4.886e+02,2.544e+02,4.800e+02,5.558e+02,1.543e+02,3.229e+02,5.573e+02,2.274e+02,6.753e+02,4.097e+02,1.157e+02,3.908e+02,8.669e+02,3.867e+02,1.473e+02,1.999e+02,9.919e+02,4.387e+02,5.107e+02,4.428e+02,4.274e+02,1.595e+03,8.315e+02,4.967e+02,1.023e+03,3.109e+02,1.199e+03,2.448e+02,2.918e+02,5.058e+02,6.366e+02,7.323e+01
V28,3.280e+00,5.788e+00,1.951e+01,1.499e+01,7.087e+00,2.747e+00,5.444e+00,5.593e+00,9.293e+00,4.673e+00,4.522e+00,1.803e+01,1.086e+01,1.780e+00,6.497e+00,1.957e+01,5.538e+00,1.141e+01,1.233e+00,9.765e+00,1.095e+01,8.180e+00,2.023e+00,3.281e+00,5.961e+00,2.447e+00,1.207e+00,3.992e+00,4.300e+00,8.176e+00,4.844e+00,3.583e+00,5.440e+00,3.563e+00,2.494e+00,1.195e+00,1.735e+00,5.634e+00,7.295e+00,4.379e+00,5.730e+00,7.098e+00,2.977e+00,1.426e+01,5.694e+00,2.126e+00,7.275e+00,4.134e+00,2.187e+00,1.950e+00
